,Company,Year,Country,Revenue,Sector
512,PingAn Insurance,2015,China,100.07,Financials
513,PingAn Insurance,2017,China,100.07,Financials
514,PingAn Insurance,2019,China,100.07,Financials
515,PingAn Insurance,2021,China,100.07,Financials
516,PingAn Insurance,2020,China,100.07,Financials
517,PingAn Insurance,2018,China,100.07,Financials
518,PingAn Insurance,2016,China,100.07,Financials
519,CM Bank,2014,China,108.68,Financials
520,CM Bank,2022,China,108.68,Financials
521,CM Bank,2023,China,108.68,Financials
522,CM Bank,2015,China,108.68,Financials
523,CM Bank,2017,China,108.68,Financials
524,CM Bank,2019,China,108.68,Financials
525,CM Bank,2021,China,108.68,Financials
526,CM Bank,2020,China,108.68,Financials
527,CM Bank,2018,China,108.68,Financials
528,CM Bank,2016,China,108.68,Financials
529,China Construction Bank,2014,China,178.16,Financials
530,China Construction Bank,2022,China,178.16,Financials
531,China Construction Bank,2023,China,178.16,Financials
532,China Construction Bank,2015,China,178.16,Financials
533,China Construction Bank,2017,China,178.16,Financials
534,China Construction Bank,2019,China,178.16,Financials
535,China Construction Bank,2021,China,178.16,Financials
536,China Construction Bank,2020,China,178.16,Financials
537,China Construction Bank,2018,China,178.16,Financials
538,China Construction Bank,2016,China,178.16,Financials
539,China Shenhua Energy,2014,China,103.81,Energy
540,China Shenhua Energy,2022,China,103.81,Energy
541,China Shenhua Energy,2023,China,103.81,Energy
542,China Shenhua Energy,2015,China,103.81,Energy
543,China Shenhua Energy,2017,China,103.81,Energy
544,China Shenhua Energy,2019,China,103.81,Energy
545,China Shenhua Energy,2021,China,103.81,Energy
546,China Shenhua Energy,2020,China,103.81,Energy
547,China Shenhua Energy,2018,China,103.81,Energy
548,China Shenhua Energy,2016,China,103.81,Energy
549,Pinduoduo,2022,China,176.94,Information Technology
550,Pinduoduo,2023,China,176.94,Information Technology
551,Pinduoduo,2019,China,176.94,Information Technology
552,Pinduoduo,2021,China,176.94,Information Technology
553,Pinduoduo,2020,China,176.94,Information Technology
554,Pinduoduo,2018,China,176.94,Information Technology
555,Bank of China,2014,China,175.5,Financials
556,Bank of China,2022,China,175.5,Financials
557,Bank of China,2023,China,175.5,Financials
558,Bank of China,2015,China,175.5,Financials
559,Bank of China,2017,China,175.5,Financials
560,Bank of China,2019,China,175.5,Financials
561,Bank of China,2021,China,175.5,Financials
562,Bank of China,2020,China,175.5,Financials
563,Bank of China,2018,China,175.5,Financials
564,Bank of China,2016,China,175.5,Financials
565,BYD,2014,China,98.15,Industries
566,BYD,2022,China,98.15,Industries
567,BYD,2023,China,98.15,Industries
568,BYD,2015,China,98.15,Industries
569,BYD,2017,China,98.15,Industries
570,BYD,2019,China,98.15,Industries
571,BYD,2021,China,98.15,Industries
572,BYD,2020,China,98.15,Industries
